"GUID","Status","Provider status","Type","Target group","Provider","Started","Status updated",""
"21a7f339-ac05-61cc-a9ed-c78c20aa77a6","Complete","Complete","Live","Target group W5 male 25-54","Cint","2024-01-30 16:36:06","2024-01-30 16:45:18",""
"a6f0426b-2ec2-f6f0-febf-76db41abf3fe","Complete","Complete","Live","Target group W5 male 25-54","Cint","2024-01-30 16:32:56","2024-01-30 16:40:16",""
"a23aa64d-f867-176b-3499-9211f68c55de","Complete","Complete","Live","Target group W5 18-24","Cint","2024-01-30 16:32:14","2024-01-30 16:40:15",""
"58df948f-200a-2427-d15b-a0f4ba4bb31c","Complete","Complete","Live","Target group W5 18-24","Cint","2024-01-30 16:32:13","2024-01-30 16:40:15",""
"139ede12-eb74-6ebf-90c6-eab5cadd7881","Complete","Complete","Live","Target group W5 18-24","Cint","2024-01-30 16:32:06","2024-01-30 16:40:15",""
"16dbbc99-27c2-0c2d-d54d-88f0d003b60a","Complete","Complete","Live","Target group W5 18-24","Cint","2024-01-30 16:32:05","2024-01-30 16:40:15",""
"3e650d38-8aeb-bd92-6bec-394ed85a19ab","Complete","Complete","Live","Target group W5 18-24","Cint","2024-01-30 16:32:03","2024-01-30 16:40:15",""
"07309287-8872-2274-3e53-a61b18de9114","Complete","Complete","Live","Target group W5 18-24","Cint","2024-01-30 16:32:03","2024-01-30 16:40:15",""
"87406e0d-5808-c3b3-4ed9-5a6b4da6819e","QualityTerminate","QualityTerminate","Live","Target group W5 18-24","Cint","2024-01-30 16:31:22","2024-01-30 16:35:15",""
"2ea75acd-cf6c-f3e7-a919-6e8c7625555e","Complete","Complete","Live","Target group W5 18-24","Cint","2024-01-30 16:30:36","2024-01-30 16:35:15",""
"19ef0299-9078-aabf-e14d-36c47ba8037b","Complete","Complete","Live","Target group W5 18-24","Cint","2024-01-30 16:30:32","2024-01-30 16:40:15",""
"4574969e-ca40-3eb6-7a4a-a25f3f88d70d","Complete","Complete","Live","Target group W5 18-24","Cint","2024-01-30 16:30:19","2024-01-30 16:35:15",""
"d3bdf4ed-01c8-5e0c-b339-c096ba9f132b","Complete","Complete","Live","Target group W5 male 25-54","Cint","2024-01-30 16:29:37","2024-01-30 16:35:12",""
"91b9f165-d742-566c-b7b1-c59294074af1","Complete","Complete","Live","Target group W5 18-24","Cint","2024-01-30 16:28:43","2024-01-30 16:40:15",""
"c780a355-7d54-0566-8e81-97abb896eec6","Complete","Complete","Live","Target group W5 18-24","Cint","2024-01-30 16:28:37","2024-01-30 16:35:12",""
"4459a9d98b94e693053935f9772dff061f98539c","TimedOut","TimedOut","Live","Target group W5","Syno","2024-01-30 13:18:53","2024-01-30 14:50:20",""
"54bbff0e0eb5ec8f31e566b0d531bb6169a55fc8","Complete","Complete","Live","Target group W5","Syno","2024-01-30 09:59:01","2024-01-30 10:03:30",""
"5ca9c5fd787fc2a99070ba4ebadce94cb1f5dfa0","Complete","Complete","Live","Target group W5","Syno","2024-01-30 05:26:55","2024-01-30 05:39:46",""
"f50b10942843be672de3c0fc4cad9a8495639cb9","Complete","Complete","Live","Target group W5","Syno","2024-01-30 01:41:32","2024-01-30 01:46:00",""
"c0d7177025a6073c38bb6b4c688b2d8d0b7ad442","Complete","Complete","Live","Target group W5","Syno","2024-01-30 00:51:40","2024-01-30 00:56:00",""
"01f4aba7912df316f7f78ff95bc9c5339eec5d8a","Complete","Complete","Live","Target group W5","Syno","2024-01-29 16:50:18","2024-01-29 16:57:30",""
"d98e2ea75a8be2ed6f22bbf5c8faf4ea534ebab7","Complete","Complete","Live","Target group W5","Syno","2024-01-29 16:47:09","2024-01-29 16:51:05",""
"c5e09e1e86ab1f05d0a1a787b2fdac57c41239e2","Complete","Complete","Live","Target group W5","Syno","2024-01-29 16:33:02","2024-01-29 16:48:01",""
"4a5448093dc52dcc9d1ec0e1554745afd81e01c5","Complete","Complete","Live","Target group W5","Syno","2024-01-29 16:30:33","2024-01-29 16:33:57",""
"9f2ddc4ccf408e70f96f1a4f9f9feb64cc93e19d","Complete","Complete","Live","Target group W5","Syno","2024-01-29 16:23:19","2024-01-30 15:44:45",""
"2d27cdb6ecfe19b15a67f6dd635d45775dfcd25a","QualityTerminate","QualityTerminate","Live","Target group W5","Syno","2024-01-29 15:21:31","2024-01-30 10:16:05",""
"d70c01ca1e8420c206d52a83ebc7547983beebca","TimedOut","TimedOut","Live","Target group W5","Syno","2024-01-29 15:04:13","2024-01-30 15:40:22",""
"ad34f4c0d6fa9c9f7528ca1f4cd328b94998db97","Complete","Complete","Live","Target group W5","Syno","2024-01-29 15:02:34","2024-01-29 15:07:08",""
"245a25ac0017474058b53180057661cfcc7ebd2c","Complete","Complete","Live","Target group W5","Syno","2024-01-29 14:50:31","2024-01-29 17:30:42",""
"b2f9056cf51c6fb68e10a66310bd02aff65928b6","TimedOut","TimedOut","Live","Target group W5","Syno","2024-01-29 14:37:13","2024-01-29 15:45:31",""
"21055d26a9e9ece6f67a650d3875fdecde30e4ec","Complete","Complete","Live","Target group W5","Syno","2024-01-29 14:32:07","2024-01-29 14:39:19",""
"6e802b24f115ac5ea1c0d176f2ab1bb4c596ed65","QualityTerminate","QualityTerminate","Live","Target group W5","Syno","2024-01-29 14:30:36","2024-01-30 16:31:12",""
"7623761c593a06dfe754cb604411bfb7d67bc726","Complete","Complete","Live","Target group W5","Syno","2024-01-29 14:30:08","2024-01-29 14:35:05",""
"d9023f0042bf1f3f53c1fe96e1993125bd57747f","QualityTerminate","QualityTerminate","Live","Target group W5","Syno","2024-01-29 14:30:04","2024-01-30 16:31:12",""
"ac70cd8d66abd3e372824bd78e3b81b8b8ea3866","TimedOut","TimedOut","Live","Target group W5","Syno","2024-01-29 14:27:34","2024-01-29 17:40:13",""
"09329818ccc8f439cafa331f9982014304d5ea7a","Complete","Complete","Live","Target group W5","Syno","2024-01-29 14:23:22","2024-01-29 14:28:42",""
"205acf0adbc5536ccd979a2520a539d72214b872","Complete","Complete","Live","Target group W5","Syno","2024-01-29 14:22:11","2024-01-29 14:26:31",""
"2961cedab16d3007b4b5a884a672fc45d561c16f","TimedOut","TimedOut","Live","Target group W5","Syno","2024-01-29 14:17:49","2024-01-29 15:30:31",""
"c8966df51b3f5b0c1d01dab19092a97437293831","Complete","Complete","Live","Target group W5","Syno","2024-01-29 14:07:54","2024-01-29 14:14:17",""
"4138c58cfe420216c417389ffa5d5ff2c41fec2b","Complete","Complete","Live","Target group W5","Syno","2024-01-29 14:03:19","2024-01-29 14:09:08",""
"7857d6c7c325197a3ca45b7720b157142be397c2","Complete","Complete","Live","Target group W5","Syno","2024-01-29 14:01:57","2024-01-29 14:05:17",""
"54344b5c64eaca6c254fd810f5a1dbf366025d14","Complete","Complete","Live","Target group W5","Syno","2024-01-29 13:57:32","2024-01-29 14:45:34",""
"ce1701c06c233f413b58995dc006c61839076b85","Complete","Complete","Live","Target group W5","Syno","2024-01-29 13:49:13","2024-01-29 13:52:20",""
"9414173ae25e4872d9dbe6e30270960e9e85f939","TimedOut","TimedOut","Live","Target group W5","Syno","2024-01-29 13:41:35","2024-01-30 15:05:14",""
"5a20219302e395e4b0e1fb7e58f95463d5c18de3","Complete","Complete","Live","Target group W5","Syno","2024-01-29 13:38:31","2024-01-29 13:55:26",""
"a46afcbd4b3ca6ac18483a16724a114a46130d48","Complete","Complete","Live","Target group W5","Syno","2024-01-29 13:31:30","2024-01-29 14:23:57",""
"16cd2d8bc49370132a0ef912fd227a09a31ad7d7","Complete","Complete","Live","Target group W5","Syno","2024-01-29 13:25:25","2024-01-29 13:31:22",""
